tick_index  elapsed_minutes   item_name           batch_size_decided
--------------------------------------------------------------------
0           0                 amethyst            20
0           0                 bronze              20
0           0                 metal               20
0           0                 orb                 20
0           0                 string              20
0           0                 wood                20
0           0                 ribbon              20
0           0                 needles             16
0           0                 sparkles            20
0           0                 silver              20
0           0                 gold                14
0           0                 fire                3
0           0                 firestone           8
0           0                 necklace            3
0           0                 elementstone        6
0           0                 artifact            6
1           5                 string              20
1           5                 wood                20
2           10                string              20
2           10                wood                20
3           15                metal               20
3           15                string              20
3           15                wood                20
3           15                ribbon              20
3           15                waterstone          2
4           20                string              20
4           20                wood                20
5           25                string              20
5           25                wood                20
6           30                bronze              20
6           30                metal               20
6           30                string              20
6           30                wood                20
6           30                ribbon              20
6           30                needles             10
7           35                string              20
7           35                wood                20
8           40                string              20
8           40                wood                20
9           45                metal               20
9           45                string              20
9           45                wood                20
9           45                ribbon              20
10          50                string              20
10          50                wood                20
11          55                string              20
11          55                wood                20
12          60                amethyst            20
12          60                bronze              20
12          60                metal               20
12          60                orb                 20
12          60                string              20
12          60                wood                20
12          60                ribbon              20
12          60                needles             10
12          60                sparkles            20
13          65                string              20
13          65                wood                20
14          70                string              20
14          70                wood                20
15          75                metal               20
15          75                string              20
15          75                wood                20
15          75                ribbon              20
16          80                string              20
16          80                wood                20
17          85                string              20
17          85                wood                20
18          90                bronze              20
18          90                metal               20
18          90                string              20
18          90                wood                20
18          90                ribbon              20
18          90                needles             10
19          95                string              20
19          95                wood                20
20          100               string              20
20          100               wood                20
21          105               metal               20
21          105               string              20
21          105               wood                20
21          105               ribbon              20
22          110               string              20
22          110               wood                20
23          115               string              20
23          115               wood                20
24          120               amethyst            20
24          120               bronze              20
24          120               metal               20
24          120               orb                 20
24          120               string              20
24          120               wood                20
24          120               ribbon              20
24          120               needles             10
24          120               sparkles            15
24          120               silver              20
25          125               string              20
25          125               wood                20
26          130               string              20
26          130               wood                20
27          135               metal               20
27          135               string              20
27          135               wood                20
27          135               ribbon              20
28          140               string              20
28          140               wood                20
29          145               string              20
29          145               wood                20
30          150               bronze              20
30          150               metal               20
30          150               string              20
30          150               wood                20
30          150               ribbon              20
30          150               needles             10
31          155               string              20
31          155               wood                20
32          160               string              20
32          160               wood                20
33          165               metal               20
33          165               string              20
33          165               wood                20
33          165               ribbon              20
34          170               string              20
34          170               wood                20
35          175               string              20
35          175               wood                20
36          180               amethyst            5
36          180               bronze              20
36          180               metal               20
36          180               orb                 16
36          180               string              20
36          180               wood                20
36          180               ribbon              20
36          180               needles             10
36          180               sparkles            10
37          185               string              20
37          185               wood                20
38          190               string              20
38          190               wood                20
39          195               metal               20
39          195               string              20
39          195               wood                20
39          195               ribbon              20
40          200               string              20
40          200               wood                20
41          205               string              20
41          205               wood                20
42          210               bronze              20
42          210               metal               20
42          210               string              20
42          210               wood                20
42          210               ribbon              20
42          210               needles             10
43          215               string              20
