tick_index  elapsed_minutes   item_name           batch_size_decided
--------------------------------------------------------------------
0           0                 amethyst            1
0           0                 bronze              1
0           0                 metal               1
0           0                 orb                 1
0           0                 string              1
0           0                 wood                1
0           0                 ribbon              1
0           0                 needles             1
0           0                 sparkles            1
0           0                 silver              1
0           0                 gold                1
0           0                 fire                1
0           0                 firestone           1
0           0                 necklace            1
0           0                 waterstone          1
0           0                 elementstone        1
0           0                 artifact            1
1           5                 string              1
1           5                 wood                1
2           10                string              1
2           10                wood                1
3           15                metal               1
3           15                string              1
3           15                wood                1
3           15                ribbon              1
4           20                string              1
4           20                wood                1
5           25                string              1
5           25                wood                1
6           30                bronze              1
6           30                metal               1
6           30                string              1
6           30                wood                1
6           30                ribbon              1
6           30                needles             1
7           35                string              1
7           35                wood                1
8           40                string              1
8           40                wood                1
9           45                metal               1
9           45                string              1
9           45                wood                1
9           45                ribbon              1
10          50                string              1
10          50                wood                1
11          55                string              1
11          55                wood                1
12          60                amethyst            1
12          60                bronze              1
12          60                metal               1
12          60                orb                 1
12          60                string              1
12          60                wood                1
12          60                ribbon              1
12          60                needles             1
12          60                sparkles            1
13          65                string              1
13          65                wood                1
14          70                string              1
14          70                wood                1
15          75                metal               1
15          75                string              1
15          75                wood                1
15          75                ribbon              1
16          80                string              1
16          80                wood                1
17          85                string              1
17          85                wood                1
18          90                bronze              1
18          90                metal               1
18          90                string              1
18          90                wood                1
18          90                ribbon              1
18          90                needles             1
19          95                string              1
19          95                wood                1
20          100               string              1
20          100               wood                1
21          105               metal               1
21          105               string              1
21          105               wood                1
21          105               ribbon              1
22          110               string              1
22          110               wood                1
23          115               string              1
23          115               wood                1
24          120               amethyst            1
24          120               bronze              1
24          120               metal               1
24          120               orb                 1
24          120               string              1
24          120               wood                1
24          120               ribbon              1
24          120               needles             1
24          120               sparkles            1
24          120               silver              1
25          125               string              1
25          125               wood                1
26          130               string              1
26          130               wood                1
27          135               metal               1
27          135               string              1
27          135               wood                1
27          135               ribbon              1
28          140               string              1
28          140               wood                1
29          145               string              1
29          145               wood                1
30          150               bronze              1
30          150               metal               1
30          150               string              1
30          150               wood                1
30          150               ribbon              1
30          150               needles             1
31          155               string              1
31          155               wood                1
32          160               string              1
32          160               wood                1
33          165               metal               1
33          165               string              1
33          165               wood                1
33          165               ribbon              1
34          170               string              1
34          170               wood                1
35          175               string              1
35          175               wood                1
36          180               amethyst            1
36          180               bronze              1
36          180               metal               1
36          180               orb                 1
36          180               string              1
36          180               wood                1
36          180               ribbon              1
36          180               needles             1
36          180               sparkles            1
37          185               string              1
37          185               wood                1
38          190               string              1
38          190               wood                1
39          195               metal               1
39          195               string              1
39          195               wood                1
39          195               ribbon              1
40          200               string              1
40          200               wood                1
41          205               string              1
41          205               wood                1
42          210               bronze              1
42          210               metal               1
42          210               string              1
42          210               wood                1
42          210               ribbon              1
42          210               needles             1
43          215               string              1
43          215               wood                1
44          220               string              1
44          220               wood                1
45          225               metal               1
45          225               string              1
45          225               wood                1
45          225               ribbon              1
46          230               string              1
46          230               wood                1
47          235               string              1
47          235               wood                1
48          240               amethyst            1
48          240               bronze              1
48          240               metal               1
48          240               orb                 1
48          240               string              1
48          240               wood                1
48          240               ribbon              1
48          240               needles             1
48          240               sparkles            1
48          240               silver              1
49          245               string              1
49          245               wood                1
50          250               string              1
50          250               wood                1
51          255               metal               1
51          255               string              1
51          255               wood                1
51          255               ribbon              1
52          260               string              1
52          260               wood                1
53          265               string              1
53          265               wood                1
54          270               bronze              1
54          270               metal               1
54          270               string              1
54          270               wood                1
54          270               ribbon              1
54          270               needles             1
55          275               string              1
55          275               wood                1
56          280               string              1
56          280               wood                1
57          285               metal               1
57          285               string              1
57          285               wood                1
57          285               ribbon              1
58          290               string              1
58          290               wood                1
59          295               string              1
59          295               wood                1
60          300               amethyst            1
60          300               bronze              1
60          300               metal               1
60          300               orb                 1
60          300               string              1
60          300               wood                1
60          300               ribbon              1
60          300               needles             1
60          300               sparkles            1
61          305               string              1
61          305               wood                1
62          310               string              1
62          310               wood                1
63          315               metal               1
63          315               string              1
63          315               wood                1
63          315               ribbon              1
64          320               string              1
64          320               wood                1
65          325               string              1
65          325               wood                1
66          330               bronze              1
66          330               metal               1
66          330               string              1
66          330               wood                1
66          330               ribbon              1
66          330               needles             1
67          335               string              1
67          335               wood                1
68          340               string              1
68          340               wood                1
69          345               metal               1
69          345               string              1
69          345               wood                1
69          345               ribbon              1
70          350               string              1
70          350               wood                1
71          355               string              1
71          355               wood                1
72          360               amethyst            1
72          360               bronze              1
72          360               metal               1
72          360               orb                 1
72          360               string              1
72          360               wood                1
72          360               ribbon              1
72          360               needles             1
72          360               sparkles            1
72          360               silver              1
72          360               gold                1
73          365               string              1
73          365               wood                1
74          370               string              1
74          370               wood                1
75          375               metal               1
75          375               string              1
75          375               wood                1
75          375               ribbon              1
76          380               string              1
76          380               wood                1
77          385               string              1
77          385               wood                1
78          390               bronze              1
78          390               metal               1
78          390               string              1
78          390               wood                1
78          390               ribbon              1
78          390               needles             1
79          395               string              1
79          395               wood                1
80          400               string              1
80          400               wood                1
81          405               metal               1
81          405               string              1
81          405               wood                1
81          405               ribbon              1
82          410               string              1
82          410               wood                1
83          415               string              1
83          415               wood                1
84          420               amethyst            1
84          420               bronze              1
84          420               metal               1
84          420               orb                 1
84          420               string              1
84          420               wood                1
84          420               ribbon              1
84          420               needles             1
84          420               sparkles            1
85          425               string              1
85          425               wood                1
86          430               string              1
86          430               wood                1
87          435               metal               1
87          435               string              1
87          435               wood                1
87          435               ribbon              1
88          440               string              1
88          440               wood                1
89          445               string              1
89          445               wood                1
90          450               bronze              1
90          450               metal               1
90          450               string              1
90          450               wood                1
90          450               ribbon              1
90          450               needles             1
91          455               string              1
91          455               wood                1
92          460               string              1
92          460               wood                1
93          465               metal               1
93          465               string              1
93          465               wood                1
93          465               ribbon              1
94          470               string              1
94          470               wood                1
95          475               string              1
95          475               wood                1
96          480               amethyst            1
96          480               bronze              1
96          480               metal               1
96          480               orb                 1
96          480               string              1
96          480               wood                1
96          480               ribbon              1
96          480               needles             1
96          480               sparkles            1
96          480               silver              1
97          485               string              1
97          485               wood                1
98          490               string              1
98          490               wood                1
99          495               metal               1
99          495               string              1
99          495               wood                1
99          495               ribbon              1
100         500               string              1
100         500               wood                1
101         505               string              1
101         505               wood                1
102         510               bronze              1
102         510               metal               1
102         510               string              1
102         510               wood                1
102         510               ribbon              1
102         510               needles             1
103         515               string              1
103         515               wood                1
104         520               string              1
104         520               wood                1
105         525               metal               1
105         525               string              1
105         525               wood                1
105         525               ribbon              1
106         530               string              1
106         530               wood                1
107         535               string              1
107         535               wood                1
108         540               amethyst            1
108         540               bronze              1
108         540               metal               1
108         540               orb                 1
108         540               string              1
108         540               wood                1
108         540               ribbon              1
108         540               needles             1
108         540               sparkles            1
109         545               string              1
109         545               wood                1
110         550               string              1
110         550               wood                1
111         555               metal               1
111         555               string              1
111         555               wood                1
111         555               ribbon              1
112         560               string              1
112         560               wood                1
113         565               string              1
113         565               wood                1
114         570               bronze              1
114         570               metal               1
114         570               string              1
114         570               wood                1
114         570               ribbon              1
114         570               needles             1
115         575               string              1
115         575               wood                1
116         580               string              1
116         580               wood                1
117         585               metal               1
117         585               string              1
117         585               wood                1
117         585               ribbon              1
118         590               string              1
118         590               wood                1
119         595               string              1
119         595               wood                1
120         600               amethyst            1
120         600               bronze              1
120         600               metal               1
120         600               orb                 1
120         600               string              1
120         600               wood                1
120         600               ribbon              1
120         600               needles             1
120         600               sparkles            1
120         600               silver              1
121         605               string              1
121         605               wood                1
122         610               string              1
122         610               wood                1
123         615               metal               1
123         615               string              1
123         615               wood                1
123         615               ribbon              1
124         620               string              1
124         620               wood                1
125         625               string              1
125         625               wood                1
126         630               bronze              1
126         630               metal               1
126         630               string              1
126         630               wood                1
126         630               ribbon              1
126         630               needles             1
127         635               string              1
127         635               wood                1
128         640               string              1
128         640               wood                1
129         645               metal               1
129         645               string              1
129         645               wood                1
129         645               ribbon              1
130         650               string              1
130         650               wood                1
131         655               string              1
131         655               wood                1
132         660               amethyst            1
132         660               bronze              1
132         660               metal               1
132         660               orb                 1
132         660               string              1
132         660               wood                1
132         660               ribbon              1
132         660               needles             1
132         660               sparkles            1
133         665               string              1
133         665               wood                1
134         670               string              1
134         670               wood                1
135         675               metal               1
135         675               string              1
135         675               wood                1
135         675               ribbon              1
136         680               string              1
136         680               wood                1
137         685               string              1
137         685               wood                1
138         690               bronze              1
138         690               metal               1
138         690               string              1
138         690               wood                1
138         690               ribbon              1
138         690               needles             1
139         695               string              1
139         695               wood                1
140         700               string              1
140         700               wood                1
141         705               metal               1
141         705               string              1
141         705               wood                1
141         705               ribbon              1
142         710               string              1
142         710               wood                1
143         715               string              1
143         715               wood                1
144         720               amethyst            1
144         720               bronze              1
144         720               metal               1
144         720               orb                 1
144         720               string              1
144         720               wood                1
144         720               ribbon              1
144         720               needles             1
144         720               sparkles            1
144         720               silver              1
144         720               gold                1
144         720               fire                1
144         720               firestone           1
144         720               waterstone          1
145         725               string              1
145         725               wood                1
146         730               string              1
146         730               wood                1
147         735               metal               1
147         735               string              1
147         735               wood                1
147         735               ribbon              1
148         740               string              1
148         740               wood                1
149         745               string              1
149         745               wood                1
150         750               bronze              1
150         750               metal               1
150         750               string              1
150         750               wood                1
150         750               ribbon              1
150         750               needles             1
151         755               string              1
151         755               wood                1
152         760               string              1
152         760               wood                1
152         760               necklace            1
153         765               metal               1
153         765               string              1
153         765               wood                1
153         765               ribbon              1
154         770               string              1
154         770               wood                1
155         775               string              1
155         775               wood                1
156         780               amethyst            1
156         780               bronze              1
156         780               metal               1
156         780               orb                 1
156         780               string              1
156         780               wood                1
156         780               ribbon              1
156         780               needles             1
156         780               sparkles            1
157         785               string              1
157         785               wood                1
158         790               string              1
158         790               wood                1
159         795               metal               1
159         795               string              1
159         795               wood                1
159         795               ribbon              1
160         800               string              1
160         800               wood                1
161         805               string              1
161         805               wood                1
162         810               bronze              1
162         810               metal               1
162         810               string              1
162         810               wood                1
162         810               ribbon              1
162         810               needles             1
163         815               string              1
163         815               wood                1
164         820               string              1
164         820               wood                1
165         825               metal               1
165         825               string              1
165         825               wood                1
165         825               ribbon              1
166         830               string              1
166         830               wood                1
167         835               string              1
167         835               wood                1
168         840               amethyst            1
168         840               bronze              1
168         840               metal               1
168         840               orb                 1
168         840               string              1
168         840               wood                1
168         840               ribbon              1
168         840               needles             1
168         840               sparkles            1
168         840               silver              1
169         845               string              1
169         845               wood                1
170         850               string              1
170         850               wood                1
171         855               metal               1
171         855               string              1
171         855               wood                1
171         855               ribbon              1
172         860               string              1
172         860               wood                1
173         865               string              1
173         865               wood                1
174         870               bronze              1
174         870               metal               1
174         870               string              1
174         870               wood                1
174         870               ribbon              1
174         870               needles             1
175         875               string              1
175         875               wood                1
176         880               string              1
176         880               wood                1
177         885               metal               1
177         885               string              1
177         885               wood                1
177         885               ribbon              1
178         890               string              1
178         890               wood                1
179         895               string              1
179         895               wood                1
180         900               amethyst            1
180         900               bronze              1
180         900               metal               1
180         900               orb                 1
180         900               string              1
180         900               wood                1
180         900               ribbon              1
180         900               needles             1
180         900               sparkles            1
181         905               string              1
181         905               wood                1
182         910               string              1
182         910               wood                1
183         915               metal               1
183         915               string              1
183         915               wood                1
183         915               ribbon              1
184         920               string              1
184         920               wood                1
185         925               string              1
185         925               wood                1
186         930               bronze              1
186         930               metal               1
186         930               string              1
186         930               wood                1
186         930               ribbon              1
187         935               string              1
187         935               wood                1
188         940               string              1
188         940               wood                1
189         945               metal               1
189         945               string              1
189         945               wood                1
189         945               ribbon              1
189         945               needles             1
190         950               string              1
190         950               wood                1
191         955               string              1
191         955               wood                1
192         960               amethyst            1
192         960               bronze              1
192         960               metal               1
192         960               orb                 1
192         960               string              1
192         960               wood                1
192         960               ribbon              1
192         960               sparkles            1
192         960               silver              1
193         965               string              1
193         965               wood                1
194         970               string              1
194         970               wood                1
195         975               metal               1
195         975               string              1
195         975               wood                1
195         975               ribbon              1
196         980               string              1
196         980               wood                1
197         985               string              1
197         985               wood                1
198         990               bronze              1
198         990               metal               1
198         990               string              1
198         990               wood                1
198         990               ribbon              1
199         995               string              1
199         995               wood                1
200         1000              string              1
200         1000              wood                1
201         1005              metal               1
201         1005              string              1
201         1005              wood                1
201         1005              ribbon              1
201         1005              needles             1
202         1010              string              1
202         1010              wood                1
203         1015              string              1
203         1015              wood                1
204         1020              amethyst            1
204         1020              bronze              1
204         1020              metal               1
204         1020              orb                 1
204         1020              string              1
204         1020              wood                1
204         1020              ribbon              1
204         1020              sparkles            1
205         1025              string              1
205         1025              wood                1
206         1030              string              1
206         1030              wood                1
207         1035              metal               1
207         1035              string              1
207         1035              wood                1
207         1035              ribbon              1
208         1040              string              1
208         1040              wood                1
209         1045              string              1
209         1045              wood                1
210         1050              bronze              1
210         1050              metal               1
210         1050              string              1
210         1050              wood                1
210         1050              ribbon              1
211         1055              string              1
211         1055              wood                1
212         1060              string              1
212         1060              wood                1
213         1065              metal               1
213         1065              string              1
213         1065              wood                1
213         1065              ribbon              1
213         1065              needles             1
214         1070              string              1
214         1070              wood                1
215         1075              string              1
215         1075              wood                1
216         1080              amethyst            1
216         1080              bronze              1
216         1080              metal               1
216         1080              orb                 1
216         1080              string              1
216         1080              wood                1
216         1080              ribbon              1
216         1080              sparkles            1
216         1080              silver              1
216         1080              gold                1
217         1085              string              1
217         1085              wood                1
218         1090              string              1
218         1090              wood                1
219         1095              metal               1
219         1095              string              1
219         1095              wood                1
219         1095              ribbon              1
220         1100              string              1
220         1100              wood                1
221         1105              string              1
221         1105              wood                1
222         1110              bronze              1
222         1110              metal               1
222         1110              string              1
222         1110              wood                1
222         1110              ribbon              1
223         1115              string              1
223         1115              wood                1
224         1120              string              1
224         1120              wood                1
225         1125              metal               1
225         1125              string              1
225         1125              wood                1
225         1125              ribbon              1
225         1125              needles             1
226         1130              string              1
226         1130              wood                1
227         1135              string              1
227         1135              wood                1
228         1140              amethyst            1
228         1140              bronze              1
228         1140              metal               1
228         1140              orb                 1
228         1140              string              1
228         1140              wood                1
228         1140              ribbon              1
228         1140              sparkles            1
229         1145              string              1
229         1145              wood                1
230         1150              string              1
230         1150              wood                1
231         1155              metal               1
231         1155              string              1
231         1155              wood                1
231         1155              ribbon              1
232         1160              string              1
232         1160              wood                1
233         1165              string              1
233         1165              wood                1
234         1170              bronze              1
234         1170              metal               1
234         1170              string              1
234         1170              wood                1
234         1170              ribbon              1
235         1175              string              1
235         1175              wood                1
236         1180              string              1
236         1180              wood                1
237         1185              metal               1
237         1185              string              1
237         1185              wood                1
237         1185              ribbon              1
237         1185              needles             1
238         1190              string              1
238         1190              wood                1
239         1195              string              1
239         1195              wood                1
240         1200              amethyst            1
240         1200              bronze              1
240         1200              metal               1
240         1200              orb                 1
240         1200              string              1
240         1200              wood                1
240         1200              ribbon              1
240         1200              sparkles            1
240         1200              silver              1
241         1205              string              1
241         1205              wood                1
242         1210              string              1
242         1210              wood                1
243         1215              metal               1
243         1215              string              1
243         1215              wood                1
243         1215              ribbon              1
244         1220              string              1
244         1220              wood                1
245         1225              string              1
245         1225              wood                1
246         1230              bronze              1
246         1230              metal               1
246         1230              string              1
246         1230              wood                1
246         1230              ribbon              1
247         1235              string              1
247         1235              wood                1
248         1240              string              1
248         1240              wood                1
249         1245              metal               1
249         1245              string              1
249         1245              wood                1
249         1245              ribbon              1
249         1245              needles             1
250         1250              string              1
250         1250              wood                1
251         1255              string              1
251         1255              wood                1
252         1260              amethyst            1
252         1260              bronze              1
252         1260              metal               1
252         1260              orb                 1
252         1260              string              1
252         1260              wood                1
252         1260              ribbon              1
252         1260              sparkles            1
253         1265              string              1
253         1265              wood                1
254         1270              string              1
254         1270              wood                1
255         1275              metal               1
255         1275              string              1
255         1275              wood                1
255         1275              ribbon              1
256         1280              string              1
256         1280              wood                1
257         1285              string              1
257         1285              wood                1
258         1290              bronze              1
258         1290              metal               1
258         1290              string              1
258         1290              wood                1
